PROB_NAME,MACHINE,Input Length,Average Time,Total Time,,,,,,,,,,,,,
MERGE_SORT,LAB207,16,1.9138E-06,2.99982E-05,,,,,,,,,,,,,
MERGE_SORT,LAB207,32,3.8024E-06,3.14222E-05,,,,,,,,,,,,,
MERGE_SORT,LAB207,64,7.7528E-06,3.87934E-05,,,,,,,,,,,,,
MERGE_SORT,LAB207,128,1.58178E-05,4.58074E-05,,,,,,,,,,,,,
MERGE_SORT,LAB207,256,0.000033236,6.52454E-05,,,,,,,,,,,,,
MERGE_SORT,LAB207,512,7.01552E-05,0.000108303,,,,,,,,,,,,,
MERGE_SORT,LAB207,1024,0.000149833,0.000198325,,,,,,,,,,,,,
MERGE_SORT,LAB207,2048,0.000319566,0.00038945,,,,,,,,,,,,,
MERGE_SORT,LAB207,4096,0.000677476,0.000789403,,,,,,,,,,,,,
MERGE_SORT,LAB207,8192,0.001422897,0.001629327,,,,,,,,,,,,,
MERGE_SORT,LAB207,16384,0.002860193,0.003253203,,,,,,,,,,,,,
MERGE_SORT,LAB207,32768,0.005996241,0.00670025,,,,,,,,,,,,,
MERGE_SORT,LAB207,65536,0.012304178,0.013640983,,,,,,,,,,,,,
MERGE_SORT,LAB207,131072,0.025510075,0.028044642,,,,,,,,,,,,,
MERGE_SORT,LAB207,262144,0.052051001,0.056891618,,,,,,,,,,,,,
MERGE_SORT,LAB207,524288,0.107125804,0.116598401,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,16,1.78E-06,4.64822E-05,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,32,3.83E-06,4.94484E-05,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,64,9.72E-06,4.73782E-05,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,128,1.79E-05,5.58394E-05,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,256,3.17E-05,7.31978E-05,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,512,6.82E-05,0.000112982,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,1024,1.67E-04,0.000218612,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,2048,3.19E-04,0.000385964,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,4096,0.000650753,0.000732532,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,8192,0.001388497,0.001510552,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,16384,0.003018475,0.003228437,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,32768,0.00637798,0.006790389,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,65536,0.013441908,0.014204664,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,131072,0.028082751,0.029543565,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,262144,0.058694859,0.061646494,,,,,,,,,,,,,
MERGE_SORT,CLUSTER,524288,0.124275775,0.129986115,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,