PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,SPEED UP,TOTAL_TIME,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,0,6.02E-07,1.00E+00,1.48E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,0,1.70E-06,1.00E+00,1.53E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,0,9.35E-07,1.00E+00,1.47E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,0,1.33E-06,1.00E+00,1.43E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,0,2.26E-06,1.00E+00,1.58E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,0,3.77E-06,1.00E+00,1.64E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,0,7.49E-06,1.00E+00,2.08E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,0,1.40E-05,1.00E+00,2.69E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,0,2.75E-05,1.00E+00,4.05E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,0,5.27E-05,1.00E+00,6.53E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,0,1.10E-04,1.00E+00,0.0001228674,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,0,2.06E-04,1.00E+00,0.0002185368,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,0,4.34E-04,1.00E+00,0.0004468956,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,0,8.19E-04,1.00E+00,0.000831632,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,0,1.72E-03,1.00E+00,0.0017359812,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,0,3.22E-03,1.00E+00,0.0032348716,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,0,6.79E-03,1.00E+00,0.0067992024,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,0,1.28E-02,1.00E+00,0.0128427998,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,0,2.59E-02,1.00E+00,0.0259075204,,,33554432,67108864,16777216
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,0,4.99E-02,1.00E+00,0.049879557,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,0,9.28E-02,1.00E+00,0.0928378478,,0,1.00E+00,1.00E+00,1.00E+00
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,0,1.80E-01,1.00E+00,0.179549618,,2,2.751785393,2.783272276,2.722585253
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,0,3.61E-01,1.00E+00,0.361393476,,4,5.478286184,5.543315364,5.41001811
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,0,7.29E-01,1.00E+00,0.7295073766,,8,9.931405048,10.09475904,8.300415494
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,0,1.47E+00,1.00E+00,1.474302078,,12,13.75806606,14.06329466,12.5194647
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,2,8.27E-05,7.28E-03,0.0001406794,,16,17.98362785,18.20458336,16.91638539
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,2,7.37E-05,2.30E-02,0.0001102006,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,2,8.23E-05,1.14E-02,0.0001302116,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,2,7.58E-05,1.76E-02,0.000121503,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,2,8.74E-05,2.58E-02,0.000138649,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,2,8.13E-05,4.63E-02,0.0001269488,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,2,9.08E-05,8.25E-02,0.0001388906,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,2,8.88E-05,1.58E-01,0.000133486,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,2,9.82E-05,2.80E-01,0.0001470754,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,2,1.18E-04,4.47E-01,0.0001678296,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,2,0.00014508,0.7569983306,0.0001871492,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,2,0.0002142,0.9620607745,0.0002647118,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,2,0.00028027,1.547989761,0.000322202,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,2,0.00056799,1.442309852,0.0006201248,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,2,0.0008846,1.947881589,0.0009278856,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,2,0.00174448,1.847374976,0.0017946666,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,2,0.003376,2.01019255,0.0034193868,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,2,0.00628014,2.043056141,0.0063290638,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,2,0.01193388,2.169860949,0.0119783342,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,2,0.02200079,2.266630366,0.022046275,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,2,0.03804982,2.439593813,0.0380903282,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,2,0.06651794,2.699099475,0.0665569876,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,2,0.13273454,2.722585253,0.1327706218,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,2,0.26509759,2.751785393,0.2651335796,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,2,0.52969363,2.783272276,0.5297318044,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,4,7.43E-05,8.10E-03,0.0001102608,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,4,7.32E-05,2.32E-02,0.0001113464,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,4,6.88E-05,1.36E-02,0.0001045654,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,4,6.81E-05,1.96E-02,0.0001050304,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,4,7.20E-05,3.13E-02,0.0001130626,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,4,7.55E-05,4.99E-02,0.0001114166,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,4,7.32E-05,1.02E-01,0.0001090868,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,4,7.80E-05,1.79E-01,0.0001139126,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,4,7.85E-05,3.50E-01,0.0001146178,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,4,9.36E-05,5.63E-01,0.00012951,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,4,0.0001109,0.9903033429,0.0001469856,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,4,0.0001404,1.467682591,0.0001772766,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,4,0.00022542,1.924670612,0.0002642876,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,4,0.00030997,2.642899912,0.000345685,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,4,0.00056408,3.054677808,0.000601413,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,4,0.00093848,3.433947736,0.000975433,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,4,0.00179248,3.78603672,0.0018307944,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,4,0.00341228,3.760149008,0.0034488642,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,4,0.00641247,4.038205713,0.0064482344,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,4,0.01215189,4.10369453,0.0121880468,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,4,0.02193126,4.232592352,0.0219678132,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,4,0.03649959,4.918918547,0.0365355298,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,4,0.0667985,5.41001811,0.0668355512,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,4,0.13316056,5.478286184,0.133196449,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,4,0.26595665,5.543315364,0.2659926024,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,8,1.32E-04,4.56E-03,0.0001687088,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,8,1.41E-04,1.20E-02,0.0001773798,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,8,1.34E-04,6.98E-03,0.000169849,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,8,1.40E-04,9.55E-03,0.0001761496,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,8,1.33E-04,1.70E-02,0.0001688104,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,8,1.35E-04,2.80E-02,0.0001704528,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,8,1.32E-04,5.69E-02,0.0001674722,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,8,1.39E-04,1.01E-01,0.0001765698,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,8,1.53E-04,1.80E-01,0.0001906438,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,8,1.37E-04,3.84E-01,0.0001735366,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,8,0.00015718,0.6987347184,0.000195416,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,8,0.0001667,1.236138872,0.0002028114,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,8,0.00022847,1.89899661,0.000264623,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,8,0.00028248,2.900122418,0.0003205394,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,8,0.00037821,4.555875951,0.0004140522,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,8,0.00059795,5.389575995,0.0006337078,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,8,0.0010376,6.540503626,0.0010819298,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,8,0.00199083,6.444875073,0.0020269968,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,8,0.00364179,7.110468448,0.0036785646,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,8,0.00693268,7.193123903,0.0069689794,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,8,0.01298382,7.149364431,0.0130211776,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,8,0.02363223,7.597189719,0.0236681786,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,8,0.04353771,8.300415494,0.0435736948,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,8,0.07345302,9.931405048,0.0734915288,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,8,0.14604426,10.09475904,0.1460832144,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,12,1.87E-04,3.22E-03,0.0002233008,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,12,1.93E-04,8.77E-03,0.0002292188,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,12,1.93E-04,4.83E-03,0.0002294938,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,12,3.35E-04,3.98E-03,0.000370666,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,12,2.32E-04,9.72E-03,0.0002694866,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,12,1.98E-04,1.91E-02,0.0002376436,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,12,2.02E-04,3.71E-02,0.0002383408,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,12,2.06E-04,6.79E-02,0.0002425138,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,12,1.98E-04,1.39E-01,0.0002354034,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,12,2.06E-04,2.56E-01,0.000242643,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,12,0.00021976,0.4997579221,0.000257047,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,12,0.00022831,0.9025959805,0.000265647,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,12,0.00023839,1.819909058,0.0002747394,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,12,0.00028947,2.830029847,0.0003253738,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,12,0.00037013,4.655360921,0.0004069476,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,12,0.00046949,6.864277855,0.0005058252,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,12,0.00093595,7.250846096,0.000973129,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,12,0.00131037,9.791665299,0.0013465408,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,12,0.00235036,11.01741071,0.0023872424,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,12,0.00439635,11.34295396,0.0044323486,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,12,0.00883284,10.50920077,0.0088686642,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,12,0.01573424,11.41068708,0.0157731164,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,12,0.02886554,12.5194647,0.028901799,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,12,0.05302283,13.75806606,0.0530593794,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,12,0.10483188,14.06329466,0.1048683916,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,16,2.37E-04,2.54E-03,0.0002746926,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,16,2.64E-04,6.43E-03,0.0002996234,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,16,2.70E-04,3.46E-03,0.000306911,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,16,2.53E-04,5.27E-03,0.0002890874,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,16,3.07E-04,7.35E-03,0.0003468182,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,16,2.40E-04,1.57E-02,0.0002780016,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,16,2.61E-04,2.87E-02,0.0002978452,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,16,2.55E-04,5.50E-02,0.0002938148,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,16,2.48E-04,1.11E-01,0.000284282,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,16,2.67E-04,1.97E-01,0.0003030052,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,16,0.00026355,0.4167218735,0.000300007,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,16,0.00027662,0.7449488724,0.0003125596,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,16,0.00028553,1.519475025,0.0003224262,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,16,0.0003273,2.502935826,0.0003632628,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,16,0.00038597,4.4642683,0.00042257,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,16,0.00045876,7.024794185,0.000494569,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,16,0.00070252,9.660026419,0.000738707,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,16,0.00184094,6.96962242,0.0018771168,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,16,0.00195747,13.22873546,0.001994615,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,16,0.00338981,14.71103642,0.0034267844,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,16,0.00632339,14.67978987,0.0063609522,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,16,0.01182154,15.18740507,0.0118636992,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,16,0.02136279,16.91638539,0.0214052554,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,16,0.04056421,17.98362785,0.0406015086,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,16,0.08098409,18.20458336,0.081021596,,,,,